EPIC,Date Time,Mid Price,Currency
III,2015-Q2,5.33,GBP
ADN,2015-Q2,3.33,GBP
ADM,2015-Q2,16.79,GBP
AAL,2015-Q2,7.76,GBP
ANTO,2015-Q2,6.32,GBP
ARM,2015-Q2,10.13,GBP
AHT,2015-Q2,9.91,GBP
ABF,2015-Q2,31.83,GBP
AZN,2015-Q2,44.29,GBP
AV.,2015-Q2,4.99,GBP
BAB,2015-Q2,10.24,GBP
BA.,2015-Q2,4.78,GBP
BARC,2015-Q2,2.75,GBP
BDEV,2015-Q2,6.7,GBP
BG,2015-Q2,1.01,GBP
BLT,2015-Q2,12.29,GBP
BP,2015-Q2,3.62,GBP
BATS,2015-Q2,36.99,GBP
BLND,2015-Q2,8.85,GBP
BT.A,2015-Q2,4.68,GBP
BNZL,2015-Q2,18.99,GBP
BRBY,2015-Q2,14.24,GBP
CPI,2015-Q2,12.83,GBP
CCL,2015-Q2,35.3,GBP
CNA,2015-Q2,2.61,GBP
CCH,2015-Q2,13.69,GBP
CPG,2015-Q2,10.53,GBP
CRH,2015-Q2,20.73,GBP
DGE,2015-Q2,18.96,GBP
DLG,2015-Q2,3.82,GBP
DC.,2015-Q2,4.57,GBP
EZJ,2015-Q2,18.66,GBP
EXPN,2015-Q2,11.04,GBP
FRES,2015-Q2,6.78,GBP
GFS,2015-Q2,2.71,GBP
GKN,2015-Q2,2.91,GBP
GSK,2015-Q2,14.09,GBP
GLEN,2015-Q2,1.5,GBP
HMSO,2015-Q2,6.78,GBP
HL,2015-Q2,11.95,GBP
HIK,2015-Q2,25.04,GBP
HSBA,2015-Q2,5.59,GBP
IMT,2015-Q2,34.97,GBP
ISAT,2015-Q2,10.31,GBP
IHG,2015-Q2,25.06,GBP
IAG,2015-Q2,6.21,GBP
ITRK,2015-Q2,25.72,GBP
INTU,2015-Q2,3.43,GBP
ITV,2015-Q2,2.57,GBP
JMAT,2015-Q2,28.05,GBP
KGF,2015-Q2,3.73,GBP
LAND,2015-Q2,13.31,GBP
LGEN,2015-Q2,2.75,GBP
LLOY,2015-Q2,0.81,GBP
LSE,2015-Q2,26.19,GBP
MKS,2015-Q2,5.28,GBP
MGGT,2015-Q2,5.26,GBP
MERL,2015-Q2,4.21,GBP
MNDI,2015-Q2,15.72,GBP
MRW,2015-Q2,1.81,GBP
NG.,2015-Q2,9.47,GBP
NXT,2015-Q2,81.29,GBP
OML,2015-Q2,2.02,GBP
PSON,2015-Q2,12.38,GBP
PSN,2015-Q2,22.77,GBP
PRU,2015-Q2,15.58,GBP
RRS,2015-Q2,39.81,GBP
RB.,2015-Q2,59.49,GBP
REL,2015-Q2,11.17,GBP
RIO,2015-Q2,24.96,GBP
RR,2015-Q2,7.38,GBP
RBS,2015-Q2,3.43,GBP
RDSA,2015-Q2,18.01,GBP
RDSB,2015-Q2,18.19,GBP
RMG,2015-Q2,5.03,GBP
RSA,2015-Q2,5.42,GBP
SAB,2015-Q2,31.66,GBP
SGE,2015-Q2,5.22,GBP
SBRY,2015-Q2,2.5,GBP
SDR,2015-Q2,29.5,GBP
SVT,2015-Q2,22.54,GBP
SHP,2015-Q2,52.58,GBP
SKY,2015-Q2,10.82,GBP
SN,2015-Q2,12.44,GBP
SMIN,2015-Q2,11.71,GBP
SPD,2015-Q2,7.98,GBP
SSE,2015-Q2,16.18,GBP
STJ,2015-Q2,7.74,GBP
STAN,2015-Q2,4.46,GBP
SL.,2015-Q2,9.69,GBP
TW.,2015-Q2,2.04,GBP
TSCO,2015-Q2,1.93,GBP
TPK,2015-Q2,20.84,GBP
TUI,2015-Q2,12.89,GBP
ULVR,2015-Q2,28.87,GBP
UU,2015-Q2,9.09,GBP
VOD,2015-Q2,2.37,GBP
WEIR,2015-Q2,13.11,GBP
WTB,2015-Q2,48.23,GBP
WOS,2015-Q2,43.17,GBP
WPP,2015-Q2,13.95,GBP
